,page_id,status,date,type,operator,registration,msn,first_flight,crew,passengers,total,aircraft_damage,location,phase,nature,departure_airport,destination_airport,narrative,time,engines,collision_casualties,aircraft_fate,crash_site_elevation,flightnumber,total_airframe_hrs,ground_casualties,operating_for,leased_from,cycles,operated_by,on_behalf_of
1077,19990609-0,,Wednesday 9 June 1999,Boeing 737-3Y0,China Southern Airlines,B-2525,24918/2087,1991-07-02  (7 years 11 months),Fatalities: 0 / Occupants: 9,Fatalities: 0 / Occupants: 81,Fatalities: 0 / Occupants: 90,Damaged beyond repair,Zhanjiang Airport (ZHA) (   China),Landing (LDG),Domestic Scheduled Passenger,"Guangzhou-Baiyun Airport (CAN/ZGGG), China","Zhanjiang Airport (ZHA/ZGNU), China","A big storm was passing the Zhanjinag Airport as the Boeing 737 approached the runway. The flight crew did not strictly comply with the check list, nor did they set the QNH correctly due to poor crew coordination. After passing the runway threshold at 400 m, the aircraft hit the ground and bounced. It floated for 330 m and hit the ground again 15 m away from the right side of the runway. The landing gear collapsed and the plane suffered irreparable damage.The airplane operated for the Shantou division of China Southern Airlines.",17:15,2 CFMI CFM56-3B1,,,,8877,,,,,,,
1078,19990622-1,Final,Tuesday 22 June 1999,Antonov An-2T,D. Owen,LY-ASA,1G139-49,1972,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 1,Damaged beyond repair,Porthcurno Airstrip (   United Kingdom),Landing (LDG),Private,?,"Porthcurno Airstrip, United Kingdom","The aircraft was landing in an open field; the surface wind was 280°/6 to 8 kt and the pilot elected to land in this direction. The ground sloped upwards to a crest and then downwards; the grass was moist. The touchdown was normal but the aircraft failed to stop before it came to the perimeter hedge and dry stone wall and collided. The pilot considered that he had overestimated the braking effectiveness on the moist, downward sloping grass surface.",18:30,,,,,,,,,,,,
1079,19990701-1,Final,Thursday 1 July 1999,Learjet 60,Bombardier Business Jet Solutions,N219FX,60-007,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 4,Substantial,"Hyannis-Barnstable Airport, MA (HYA) (   United States of America)",Landing (LDG),Executive,"Washington-Dulles International Airport, DC (IAD/KIAD), United States of America","Hyannis-Barnstable Airport, MA (HYA/KHYA), United States of America","A Learjet 60, N219FX, was substantially damaged while landing at the Hyannis-Barnstable Municipal Airport (HYA), Massachusetts. The airplane had been previously positioned to Windsor Locks-Bradley International Airport (BDL), Connecticut, for maintenance work. The flight crew was instructed by dispatch personnel to fly the airplane from BDL, to IAD, and pick up two passengers. According to the captain, the flight departed IAD, and proceeded uneventfully to HYA. While being vectored for the runway 24 ILS approach, with the flaps selected to 20 degrees and the landing gear retracted, the airplane was turned to intercept the localizer. The captain said he called for the extension of the landing gear and ""flaps down."" The landing gear extended and three green lights were confirmed. The flaps moved to what ""appeared"" to be a full down indication. As the landing checklist was being completed, the left and right amber HYDR PRESS lights flickered. The captain stated that he checked the hydraulic pressure indicator, and noted that it still remained at the normal level. The flight crew reported to Cape Approach Control that they had a hydraulic problem and continued on the approach. The left and right amber HYDR PRESS lights began to flash with more regularity and the flight crew discussed whether to continue or divert to another airport. A check of the hydraulic pressure indicator by the captain revealed that the level was at 1,000 PSI, which was ""the bottom of the green arc."" The captain also stated that, in preparation for landing, he pulled the emergency brake lever out of its detent.The flight continued to the airport, and the airplane ""broke out"" of the clouds about 800 feet above the ground. The captain stated that, at a point prior to touchdown, the flight crew was ""alerted to windshear"" and the airspeed climbed to 160 knots. The captain corrected and continued. The flight crew estimated that the airplane touched down within the first 300 feet of the runway. The captain applied normal braking, but the brakes did not respond. The captain then immediately reached for and tried to apply emergency braking, but the emergency brake lever would not move. The captain then requested that the first officer apply emergency braking. The first officer used both of his hands to free the lever and began to apply the emergency brakes. The captain stated that after regaining braking authority, there was not enough remaining runway to stop. The airplane proceeded off the departure end of runway 24, struck a localizer antenna array, and came to rest in a fence.",22:24,,,Repaired,,,4294,,,,,,
1080,19990806-0,Preliminary,Friday 6 August 1999,de Havilland Canada DHC-6 Twin Otter 300,Merpati Nusantara Airlines,PK-NUU,478,1975,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,Damaged beyond repair,Ilaga Airport (ILA) (   Indonesia),Landing (LDG),Unknown,?,"Ilaga Airport (ILA/WABL), Indonesia","The Twin Otter, named ""Manterawu"", overran the Ilaga runway on landing sustaining irreparable damage. The nosegear had collapsed and the left hand wingtip was bent.",,2 Pratt & Whitney Canada PT6A-27,,,,,,,,,,,
1081,19990813-1,Preliminary,Friday 13 August 1999,Fokker F-28 Fellowship 1000,Myanma Airways,XY-ADU,11019,1970-02-13  (29 years 6 months),Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 63,Fatalities: 0 / Occupants: 67,Substantial,Yangon-Mingaladon Airport (RGN) (   Myanmar),Landing (LDG),Passenger,?,"Yangon-Mingaladon Airport (RGN/VYYY), Myanmar","The F-28 landed on a wet runway 21 following an ILS approach. It could not be stopped on the runway and overran, coming to rest with a collapsed landing gear.The airplane was repaired in 2002 and returned to service.",,,,Repaired,,,,,,,,,
1082,19990814-1,Preliminary,Saturday 14 August 1999,Boeing 707-351C,Trans Arabian Air Transport - TAAT,ST-ANP,19632/649,1967,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Juba Airport (JUB) (   South Sudan),Landing (LDG),Cargo,?,"Juba Airport (JUB/HSSJ), South Sudan",Landed long and fast with a 9 knots tailwind and overran runway 31 by 150 m.,,4 Pratt & Whitney JT3D-3B (HK2),,,,,,,,,,,
1083,19990816-1,Final,Monday 16 August 1999,Canadair CL-600-1A11 Challenger 600,Hop-A-Jet Inc,N63HJ,1021,1981,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 3,Substantial,"Fort Lauderdale-Executive Airport, FL (FXE) (   United States of America)",Landing (LDG),Ferry/positioning,"Pueblo Memorial Airport, CO (PUB/KPUB), United States of America","Columbia Metropolitan Airport, SC (CAE/KCAE), United States of America","A Canadair Challenger, N63HJ, ran off the side of the runway, collided with a taxiway sign, and collapsed the nose landing gear while landing on runway 8 at Fort Lauderdale-Executive Airport, FL (FXE). Visual meteorological conditions prevailed at the time and an instrument flight rules flight plan was filed. The aircraft received substantial damage and the three crew members were not injured. The flight originated from Pueblo, Colorado, the same day, about 20:18.While enroute from Pueblo, Colorado, to Columbia, South Carolina, the captain's windshield delaminated, and the flight diverted to Fort Lauderdale, Florida, for repairs. The first officer was flying the airplane and had been instructed by the captain to make a firm landing at Fort Lauderdale to get the airplanes weight on the wheels, due to the airplane being light. The landing was firm and the first officer activated the engine thrust reversers. As the nose landing gear touched down, the airplane began veering to the left. Attempts to control the veer to the left were unsuccessful and the airplane ran off the left side of the runway. The airplane then ran over a taxiway and collided with a taxiway sign and the concrete base for the sign. The nose landing gear collapsed and the airplane came to rest. Examination of the runway showed alternating dark and light marks from the left main landing gear tire were present on the runway about 160 feet before marks from the right main landing gear tire are present. Post accident examination of the airplanes landing gear, tires, wheels, bakes, spoilers, and engine thrust reversers, showed no evidence of pre-accident failure or malfunction. At the time of the accident the flight crew had been on duty for about 17 hours 45 minutes.",23:47,2 Lycoming ALF502L-2,,Written off (damaged beyond repair),,,9503,,,,,,
1084,19990822-0,Final,Sunday 22 August 1999,McDonnell Douglas MD-11,China Airlines,B-150,48468/518,1992,Fatalities: 0 / Occupants: 15,Fatalities: 3 / Occupants: 300,Fatalities: 3 / Occupants: 315,Damaged beyond repair,Hong Kong-Chek Lap Kok International Airport (HKG) (   Hong Kong),Landing (LDG),International Scheduled Passenger,"Bangkok-Don Muang International Airport (BKK/VTBD), Thailand","Hong Kong-Chek Lap Kok International Airport (HKG/VHHH), Hong Kong","China Airlines flight 642 departed Bangkok for a flight to Taipei via Hong Kong. Weather in the Hong Kong area was very poor with a severe tropical storm ('Sam') 50 km NE of the airport and gale force winds and thunderstorms. Extra fuel was carried, because the crew intended to continue to Taipei, depending on weather at Hong Kong on arrival. Before the arrival of flight 642 four flights carried out missed approaches, five planes diverted and 12 planes landed successfully. Weather information obtained by the crew at 18:06 reported a 300deg wind at 35 knots and an RVR of 650 m in heavy rain. The flight crew then prepared for a runway 25L ILS approach. Landing reference speed was calculated to be 152 knots and the captain (pilot-in-command) would fly the approach at 170 knots and would continue to land depending on a wind check on finals.At 18:41, while flying the runway 25L ILS approach, weather was reported to the crew being 1600 m visibility in the touchdown zone, wind 320deg/25 knots gusting to 33 knots. The aircraft was then cleared to land. At an altitude of 700 feet prior to touchdown a further wind check was passed to the crew: 320deg/28 knots gusting to 36 knots. Maximum crosswind component limit for the aircraft was 24 knots. The pilot-in-command continued with the approach, disconnected the autopilot but left auto throttle engaged. The MD-11, with a weight very close to the maximum landing weight permitted, stabilized slightly low on the glide slope. At 50 feet above the runway, upon power reduction to flight idle, the airspeed decreased from 170 to 152 knots. An attempt was made to flare in a slightly right wing down (less than 4 deg) attitude. The aircraft landed hard on its right main gear and the no. 3 engine touched the runway. The right main gear separated and the right wing separated. The MD-11 then rolled inverted as it skidded off the runway in flames. It came to rest on a grass area next to the runway, 1100 m from the runway threshold. The right wing was found on a taxiway 90 m from the nose of the plane.The crash sequence in this case bears similarities to a Fedex MD-11 which also flipped upside down on landing at Newark.",18:43,3 Pratt & Whitney PW4460,,,,642,30721,,,,5824,,
1085,19990914-0,Final,Tuesday 14 September 1999,Boeing 757-204,Britannia Airways,G-BYAG,26965/517,1992,Fatalities: 0 / Occupants: 9,Fatalities: 1 / Occupants: 236,Fatalities: 1 / Occupants: 245,Damaged beyond repair,Gerona-Costa Brava Airport (GRO) (   Spain),Landing (LDG),Int'l Non Scheduled Passenger,"Cardiff-Wales Airport (CWL/EGFF), United Kingdom","Gerona-Costa Brava Airport (GRO/LEGE), Spain","Britannia Airways Flight 226A took off from Cardiff at 20:40 local time for a charter flight to Gerona. The crew contacted Gerona ATC at 23:14 hours. With a thunderstorm in the area, flight conditions were turbulent. ATC offered the option of a runway 20 ILS approach, but the crew decided to fly a VOR/DME procedure to runway 02 considering the prevailing conditions of wet runway, downslope and tailwind. At 23:33, in full landing configuration and just after passing 10 DME, the crew were advised of a change of wind to 200 degrees at 12 knots. Upon becoming visual the aircraft was not adequately aligned with the runway and the change in wind direction now favored the reciprocal runway so a missed approach was carried out. The aircraft was now positioned for an ILS approach to runway 20. During the approach the crew noted that the company minimum amount of fuel for a diversion to Barcelona (2,800 kg) had been reached. At 23:46:58 hrs, at 250 feet above ground level (agl) and on the correct glidepath, the captain disconnected the autopilot and autothrottle. The aircraft began to deviate above the glidepath. Twelve seconds later, at 110 feet agl, the captain briefly pushed the control column almost fully forward before returning it to an approximately neutral position. The aircraft pitched down to -4.5° nose down attitude and then back up to -2.5° nose down attitude. During this period the captain lost his visual reference with the runway because all runway lights had suddenly failed. The GPWS then warned of the excessive sink rate and the thrust levers being retarded to idle. At 21:47:17 the aircraft touched down in a 2° nose down attitude and a recorded peak normal (vertical) acceleration of 3.11 g. The aircraft bounced, the nose pitched up to +3.3°, a roll to the right commenced, both the thrust levers advanced and the power on both engines increased to 1.18 EPR. Full nose down elevator was applied and held until a second touchdown, resulting in a rapid pitch down. The aircraft made the second touchdown 1.9 seconds after the first at -0.5° pitch attitude (nose down), with a pitch rate of 7°/sec nose down and 4.2° of right roll. After a run of approximately 343 meters across flat grassland beside the runway, the aircraft ran diagonally over a substantial earth mound adjacent to the airport boundary, becoming semi-airborne as a result. At the far side of the mound a number of medium sized trees were struck and severed, predominantly by the right wing, and the right engine nacelle struck the boundary fence. The aircraft, yawed considerably to the right of its direction of travel, then passed through the fence, re-landed in a field and both main landing gears collapsed. It came to rest after a 244 meter slide across the field, with the fuselage almost structurally severed at two points.One passenger who was initially admitted to hospital with minor injuries was discharged the following day. He died five days later as a result of unsuspected internal injuries.",23:47,2 Rolls-Royce RB211-535E4,,,,BY226A,26429,,,,9816,,
1086,19990923-1,Final,Thursday 23 September 1999,Boeing 747-438,Qantas,VH-OJH,24806/807,1990-08-14  (9 years 1 months),Fatalities: 0 / Occupants: 19,Fatalities: 0 / Occupants: 391,Fatalities: 0 / Occupants: 410,Substantial,Bangkok International Airport (BKK) (   Thailand),Landing (LDG),International Scheduled Passenger,"Sydney-Kingsford Smith International Airport, NSW (SYD/YSSY), Australia","Bangkok-Don Muang International Airport (BKK/VTBD), Thailand","The first officer was the handling pilot for the flight. The crew elected to use flaps 25 and idle reverse as the configuration for the approach and landing, in accordance with normal company practice (since December 1996).At various stages during the approach to runway 21L, the crew were informed by air traffic control that there was a thunderstorm and heavy rain at the airport, and that visibility was 4 km (or greater). At 2240, a special weather observation taken at Bangkok airport noted visibility as 1,500 m and the RVR for runway 21R as 750 m. The Qantas 1 crew was not made aware of this information, or the fact that another aircraft (callsign Qantas 15) had gone around from final approach at 2243:26. At 2244:53, the tower controller advised that the runway was wet and that a preceding aircraft (which landed at approximately 2240) reported that braking action was good.The Qantas 1 crew noted no effect from the weather until visibility reduced when the aircraft entered very heavy rain as it descended through 200 feet on late final approach. The aircraft then started to deviate above the 3.15 degree glideslope, passing over the runway threshold at 169 knots at a height of 76 feet. Those parameters were within company limits. (The target speed for the final approach was 154 knots, and the ideal threshold crossing height was 44 ft.)When the aircraft was approximately 10 feet above the runway, the captain instructed the first officer to go around. As the first officer advanced the engine thrust levers, the aircrafts mainwheels touched down (1,002 m along the 3,150 m runway, 636 m beyond the ideal touchdown point). The captain immediately cancelled the go-around by retarding the thrust levers, without announcing his actions. Those events resulted in confusion amongst the other pilots, and contributed to the crew not selecting (or noticing the absence of) reverse thrust during the landing roll. Due to a variety of factors associated with the cancellation of the go-around, the aircrafts speed did not decrease below the touchdown speed (154 kts) until the aircraft was 1,625 m or halfway down the runway.The investigation established that, during the landing roll, the aircraft tyres aquaplaned on the water-affected runway. This limited the effectiveness of the wheelbrakes to about one third of that for a dry runway. In such conditions and without reverse thrust, there was no prospect of the crew stopping the aircraft in the runway distance remaining after touchdown. The aircraft overran the 100 m stopway (at the end of the runway) at a speed of 88 knots, before stopping 220 m later with the nose resting on an airport perimeter road.The depth of water on the runway when the aircraft landed could not be determined but it was sufficient to allow dynamic aquaplaning to occur (i.e. at least 3 mm). The water buildup was the result of heavy rain on the runway in the preceding minutes, and possibly because the runway was ungrooved.During the examination of the performance of the aircraft on the runway, it became evident that the flaps 25/idle reverse thrust landing procedure used by the crew (and which was the preferred company procedure) was not appropriate for operations on to water-affected runways. The appropriate approach/landing procedure was flaps 30/full reverse thrust. This had the characteristics of a lower approach speed, of being easier to fly in terms of speed control and runway aim point (for most company pilots), and of providing maximum aerodynamic drag after touchdown when the effectiveness of the wheelbrakes could be reduced because of aquaplaning. Had this configuration been used, the overrun would most probably have been avoided.As with other company B747-400 pilots, the crew had not been provided with appropriate procedures and training to properly evaluate the potential effect the Bangkok Airport weather conditions might have had on the stopping performance of the aircraft. In particular, they were not sufficiently aware of the potential for aquaplaning and of the importance of reverse thrust as a stopping force on water-affected runways.",22:47,4 Rolls-Royce RB211-524G,,Repaired,,1,41151,,,,6002,,
1087,19990924-0,Final,Friday 24 September 1999,Learjet 36A,Ärzteflugambulanz GmbH,OE-GMD,36-047,1981,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 4,Substantial,Tulln/Langenlebarn-Brumowski Air Base (   Austria),Landing (LDG),Ambulance,"Wien-Schwechat International Airport (VIE/LOWW), Austria","Tulln/Langenlebarn-Brumowski Air Base (LOXT), Austria","During landing on runway 08 of the Tulln/Langenlebarn Air Base, the aircraft touched down at a high speed. The aircraft had initially been cleared to land on runway 26 but landed, without landing clearance, on runway 08 instead. Due to the tail wind and high speed the aircraft was unable to stop. The Learjet overshot the end of the runway and crossed a rural road before coming to a standstill some 220 meters beyond the end of the runway. All three landing gear struts were torn off and the wings were deformed. The captain of this flight was later fatally injured in the crash of Falcon 100 VP-BAF on February 12, 2009.",09:57,2 Garrett TFE731-2-2B,,Repaired,,,4091,,,,2497,,
1088,19991011-3,Final,Monday 11 October 1999,Swearingen SA227-AC Metro III,Merlin Express,N438MA,AC-721,1988,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,Substantial,"Opa-locka Airport, FL (OPF) (   United States of America)",Landing (LDG),Ferry/positioning,"Miami International Airport, FL (MIA/KMIA), United States of America","Opa-locka Airport, FL (OPF/KOPF), United States of America","Engine power went into ground idle shortly after flight idle was selected on approach. The airplane bounced then after touchdown, the captain brought both power levers to ground idle and the airplane veered to the right.",20:24,2 Garrett TPE331,,Repaired,,5001,17968,,,,,,
1089,19991016-0,Preliminary - official,Saturday 16 October 1999,McDonnell Douglas DC-8-62F,Continental Cargo Airlines,9G-REM,45910/311,1967,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 8,Damaged beyond repair,Kinshasa-N'Djili Airport (FIH) (   Democratic Republic of the Congo),Landing (LDG),Cargo,"Tunis-Carthage Airport (TUN/DTTA), Tunisia","Kinshasa-N'Djili Airport (FIH/FZAA), Democratic Republic of the Congo","The aircraft departed Oostende, Belgium at 02:00 for a flight to Kinshasa, D.R.Congo. A technical stop was made at Tunis, Tunisia.The crew was unable to perform the runway 24 ILS approach because of an airborne equipment malfunction. They changed to a visual procedure for runway 24, with a left tail wind. The crew flew a short pattern because the pilot considered that he had very little fuel left. The landing was very hard and off centre. The DC-8 slid off the runway to the left. A fire ensued immediately.",11:46,4 Pratt & Whitney JT3D-3B (HK),,,,,,,,,,,
1090,19991017-0,Final,Sunday 17 October 1999,McDonnell Douglas MD-11F,FedEx,N581FE,48419/450,1990,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,Damaged beyond repair,Subic Bay International Airport (SFS) (   Philippines),Landing (LDG),Cargo,"Shanghai-Hongqiao Airport (SHA/ZSSS), China","Subic Bay International Airport (SFS/RPLB), Philippines","FedEx flight 87 departed Shanghai at 21:16 for a flight to Subic Bay. The MD-11, named ""Joshua"", touched down at Subic Bay runway 07 at 23:15. The plane rolled onto runway 25, hitting a concrete post and slamming into a wire fence before plunging into the bay. All of the plane was submerged, 10 m offshore, except for the cockpit. The cargo reportedly consisted mainly of electronic goods and garments. N581FE was also part of the US Civil Reserve Air Fleet (CRAF).",23:15,3 General Electric CF6-80C2D1F,,,,87,,,,,,,
1091,19991107-0,Final,Sunday 7 November 1999,Fokker 100,,I-ALPL,11250,1988-03-28  (11 years 8 months),Fatalities: 0 / Occupants: 5,Fatalities: 0 / Occupants: 39,Fatalities: 0 / Occupants: 44,Substantial,Barcelona Airport (BCN) (   Spain),Landing (LDG),International Scheduled Passenger,"Venice-Marco Polo Airport (VCE/LIPZ), Italy","Barcelona-El Prat Airport (BCN/LEBL), Spain","A Fokker 100, operated by Alpi Eagles on behalf of Air Dolomiti, suffered a runway excursion accident on landing at Barcelona Airport (BCN), Spain.Flight DLA2708 had departed Venice, Italy with 39 passengers and a crew of five. The flight was uneventful and the weather at Barcelona was fine. Wind was calm, there was no cloud ceiling and visibility was more than 10 kilometres.The co-pilot was acting as the flying pilot, maintaining a speed of some 140-145 kt, some 9-14 knots above the reference speed. The landing configuration was set with 25° of flap. In the approach to runway 25 the flight was conducted manually. The aircrafts wheels touched down at a point some 300 m from the threshold of runway 25 at a ground speed of 128 kt. After nosewheel touchdown, with the aircraft now rolling along the runway, it experienced an increasing vibration which was felt both by the pilots and by the flight attendants and passengers. The captain took control of the aircraft when he felt the vibrations. The lift dumpers opened in the normal manner. The aircraft was zigzagging, with a tendency to pull to the right, and the pilot used the brakes and applied idling reverse to attempt to brake and keep the aircraft on the runway; he increased the power asymmetrically, up to 1.18 EPR in the left-hand engine and 1.13 in the right.The right-hand main landing gear then collapsed. The two wheels, together with the sliding member of the right-hand main landing gear leg, sheared off and struck the fairing of the right-hand engine. The wing leant on that side, scraping the right-hand flap, wingtip and aileron along the ground. In the wing, the MLG Bracket split. However, the fuel tanks remained intact.The aircraft finally came to a halt at the side of the runway, outside the tarmac paved surface, in a grassy area 1,730 m from the threshold of the runway and 100 m to the right of the centre line or axis of the runway. The right wing was resting on the ground. There was no fire.",14:55,2 Rolls-Royce Tay 620-15,,Repaired,,2708,24429,,Air Dolomiti,Alpi Eagles,22880,,
1092,19991112-1,,Friday 12 November 1999,Antonov An-12B,Unknown,D2-FRK,6344202,1966,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants: 6,Damaged beyond repair,Lukapa Airport (LBZ) (   Angola),Landing (LDG),Cargo,"Luena Airport (LUO/FNUE), Angola","Lukapa Airport (LBZ/FNLK), Angola",The An-12 cargo plane sustained damage in a runway excursion accident while landing at Lukapa.,,,,,,,,,,,,,
1093,19991201-0,Preliminary - official,Wednesday 1 December 1999,Fokker F-27 Friendship 600,Indonesia Air Transport - IAT,PK-TSK,10441,1970-07-31  (29 years 4 months),Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 37,Fatalities: 0 / Occupants: 41,Substantial,Matak-Tarempa Airport (MWK) (   Indonesia),Landing (LDG),Domestic Non Scheduled Passenger,"Matak-Tarempa Airport (MWK/WIOM), Indonesia",?,"A Fokker F-27 Friendship 600 passenger plane was damaged in a landing accident at Matak-Tarempa Airport (MWK), Anambas Islands, Riau Province, Indonesia.The aircraft took off normally. When 80 nm out, it was indicated that an engine fire had occurred so the pilot shut down the engine. The crew decided to return to Matak. The airplane ran off the runway following a single engine landing on runway 36.",,,,Repaired,,,,,,,,,
1094,19991206-0,Final,Monday 6 December 1999,Cessna 208B Grand Caravan,Arctic Circle Air Service,N5187B,208B0270,1991,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 2,Substantial,"near Bethel Airport, AK (BET) (   United States of America)",Initial climb (ICL),Domestic Scheduled Passenger,"Bethel Airport, AK (BET/PABE), United States of America","Marshall Airport, AK (MLL/PADM), United States of America","While departing Bethel (BET) runway 36, about 100 feet (30 m) above the runway, the pilot retracted the flaps to he 10 degrees position. As the airplane climbed to about 200 feet (60 m) above the runway, he retracted the remaining 10 degrees of flaps, and the airplane began to descend. The pilot said full power was already applied to the engine, but the airplane continued to descend. The airplane landed on the runway, about 200 feet from the runway threshold, and continued off the end of the runway, into soft, snow-covered terrain. The airplane sustained substantial damage to the propeller, fuselage, and wings.",09:58,1 Pratt & Whitney Canada PT6A-114A,,Repaired,,30,6105,,,,,,
1095,19991215-0,Preliminary,Wednesday 15 December 1999,Beechcraft 200 Super King Air,Kenn Borek Air,C-GKBN,BB-29,1974,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 5,Fatalities: 0 / Occupants: 7,Damaged beyond repair,"Hamburg Aerodrome, AB (   Canada)",Landing (LDG),Domestic Non Scheduled Passenger,?,"Hamburg Aerodrome, AB, Canada","The crew of C-GKBN, a Beechcraft 200 Super King Air with 5 passengers, made a straight-in approach, with approach flap settings, to a snow-covered and icy runway at Hamburg, AB, Canada. Upon touchdown in 2 inches of snow, directional control was lost. The aircraft turned sideways on the strip, struck a snow windrow, which then pulled the aircraft off the strip into a stand of trees. The First Officer had made the landing. The aircraft had picked up about 1/8 inch of ICA on the approach. Approach flap had been used for the landing instead of landing flap. The aircraft had landed with a five knot tail wind. The landing touchdown was reported to be very firm. There were no injuries but the aircraft was substantially damaged. Company representatives examining the runway surface after the accident discovered a rut running diagonally across the runway, which was apparently present prior the landing and may have contributed to the loss of directional control of the aircraft.",23:15 UTC,,,,,,,,,,,,
1096,19991221-0,Final,Tuesday 21 December 1999,McDonnell Douglas DC-10-30,,F-GTDI,46890/77,1973-02-11  (26 years 11 months),Fatalities: 8 / Occupants: 18,Fatalities: 8 / Occupants: 296,Fatalities: 16 / Occupants: 314,Damaged beyond repair,Guatemala City-La Aurora Airport (GUA) (   Guatemala),Landing (LDG),Int'l Non Scheduled Passenger,"Havana-José Martí International Airport (HAV/MUHA), Cuba","Guatemala City-La Aurora Airport (GUA/MGGT), Guatemala","The aircraft overran the wet runway 19 on landing, went down a steep slope and crashed into 10 houses past the runway end.Weather was reported to include a 360deg wind at 8 knots, 6nm visibility and cloud base at 2200 feet agl.",ca 09:40,3 General Electric CF6-50C,,,,CU1216,85760,Fatalities: 2,Cubana de Aviación,AOM French Airlines,27331,,
1097,19991228-2,,Tuesday 28 December 1999,Lockheed L-100-30 Hercules,Transafrik,S9-BOP,4477,1972,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 4,Damaged beyond repair,Luzamba Airport (LZM) (   Angola),Landing (LDG),Cargo,?,"Luzamba Airport (LZM/FNLZ), Angola",The aircraft could not be brought to a halt before the end of the 3000 feet runway. The Hercules overran the dirt runway and went into a 40 feet ravine. The aircraft was reportedly transporting diesel fuel in an internal mounted tank.,05:45,4 Allison 501-D22A,,,,,,,,,,,
1098,19991231-0,Preliminary - official,Friday 31 December 1999,Beechcraft 99A Airliner,Bohlke International Airways,N491BB,U-97,1969,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 7,Fatalities: 0 / Occupants: 9,Damaged beyond repair,Saint-Barthélémy Airport (SBH) (   Guadeloupe),Landing (LDG),Int'l Non Scheduled Passenger,"Saint Croix-Henry E. Rohlsen Airport (STX/TISX), U.S. Virgin Islands","Saint-Barthélémy Airport (SBH/TFFJ), Guadeloupe","The aircraft departed St.Croix at about 10:00 for a flight to St. Barthelemy. A 360-degree turn had to be made upon arrival due to other arriving traffic. The aircraft turned an 8- mile final. At a 1,5-mile final the flaps were lowered to the full down position, the propellers were set at 2,000 rpm, airspeed 95 knots, and all three landing gear lights were illuminated. On touchdown the airplane yawed to the left. Right rudder and aileron was applied with negative results. Power was increased and the airplane continued to yaw to the left. The airplane went off the left side of the runway and ground looped, separating the right main landing gear. The airplane came to a complete stop on its fuselage with the nose gear extended.",10:55,2 Pratt & Whitney Canada PT6A-27,,,,,,,,,,,
1099,20000114-0,Preliminary - official,Friday 14 January 2000,Lockheed C-130B Hercules,Fuerza Aérea Boliviana,TAM60,3559,1960,Fatalities: 0 / Occupants: 7,Fatalities: 5 / Occupants: 24,Fatalities: 5 / Occupants: 31,Damaged beyond repair,Chimore Airport (   Bolivia),Takeoff (TOF),Military,"Chimore Airport (SLCH), Bolivia","Trinidad Airport (TDD/SLTR), Bolivia","Departed the left side of runway 35, about 600 meters from the approach end, impacted a ditch and came to rest in a forested area off the left side of the runway.",12:16,4 Allison T56-A-7,,,,,,,,,,,
